DATE,CUURA320SA0_PCH
7/1/2015,0.25558
10/1/2015,0.14005
1/1/2016,0.17552
4/1/2016,0.95032
7/1/2016,0.31606
10/1/2016,0.93382
1/1/2017,1.69834
4/1/2017,-0.57184
7/1/2017,0.18675
10/1/2017,0.95702
1/1/2018,2.57135
4/1/2018,0.13
7/1/2018,-0.1027
10/1/2018,0.54459
1/1/2019,0.66884
4/1/2019,0.57699
7/1/2019,0.126
10/1/2019,0.36032
1/1/2020,0.32989
4/1/2020,-0.69456
7/1/2020,1.37199
10/1/2020,0.04473
1/1/2021,0.68088
4/1/2021,2.445
7/1/2021,1.0186
10/1/2021,2.12508
1/1/2022,3.40247
4/1/2022,2.74516
7/1/2022,1.60025
10/1/2022,1.65957
1/1/2023,2.86094
,
